athlete_id,team_id,distinct_games,total_minutes,game_rows,canonical_team_id,kept
56634,41,35,1216.0,35,41,True
56643,356,33,0.0,33,356,True
56644,71,33,449.0,33,71,True
56645,305,32,898.0,32,305,True
56647,79,33,287.0,33,79,True
56648,356,33,982.0,33,356,True
56650,278,32,181.0,32,278,True
56653,2305,36,714.0,36,2305,True
56655,2350,37,626.0,37,2350,True
56656,2350,37,998.0,37,2350,True
56661,2393,36,903.0,36,2393,True
56663,2885,33,618.0,33,2885,True
56665,2885,33,562.0,33,2885,True
56666,2210,33,771.0,33,2210,True
56667,2210,33,465.0,33,2210,True
56668,2210,33,768.0,33,2210,True
56669,2174,33,353.0,33,2174,True
56671,9,34,59.0,34,9,True
56672,130,32,435.0,32,130,True
56675,198,34,75.0,34,198,True
56676,2623,31,918.0,31,2623,True
56678,2623,31,448.0,31,2623,True
56679,2405,33,823.0,33,2405,True
56681,2405,33,750.0,33,2405,True
56682,2142,33,1100.0,33,2142,True
56683,2275,34,1239.0,34,2275,True
56686,2449,33,1271.0,33,2449,True
56687,2449,33,806.0,33,2449,True
56691,195,30,759.0,30,195,True
56692,194,35,411.0,35,194,True
56694,194,35,1068.0,35,194,True
56695,194,35,1139.0,35,194,True
56696,194,35,644.0,35,194,True
56703,2523,35,460.0,35,2523,True
56704,151,33,37.0,33,151,True
56707,57,33,686.0,33,57,True
56708,164,32,930.0,32,164,True
56709,164,32,278.0,32,164,True
56710,164,32,760.0,32,164,True
56711,164,32,1133.0,32,164,True
56712,221,34,211.0,34,221,True
56713,2439,33,0.0,33,2439,True
56716,16,33,1085.0,33,16,True
56718,326,31,911.0,31,326,True
56721,2547,34,125.0,34,2547,True
56724,2567,34,530.0,34,2567,True
56725,2567,34,14.0,34,2567,True
56726,245,33,892.0,33,245,True
56727,2567,34,963.0,34,2567,True
56728,147,30,831.0,30,147,True
56729,179,31,0.0,31,179,True
56731,179,31,957.0,31,179,True
56732,2603,31,1023.0,31,2603,True
56733,2603,31,0.0,31,2603,True
56734,2599,33,673.0,33,2599,True
56735,245,33,803.0,33,245,True
56741,2655,31,750.0,31,2655,True
56742,2565,28,250.0,28,2565,True
56743,2655,31,928.0,31,2655,True
56744,333,34,491.0,34,333,True
56748,2250,38,1014.0,38,2250,True
56749,119,32,900.0,32,119,True
56752,5,36,1165.0,36,5,True
56753,259,32,265.0,32,259,True
56755,57,33,782.0,33,57,True
56756,259,33,348.0,33,259,True
56758,2603,31,758.0,31,2603,True
56759,277,35,644.0,35,277,True
56760,2006,35,732.0,35,2006,True
56761,113,32,691.0,32,113,True
56762,2473,33,600.0,33,2473,True
56763,8,36,47.0,36,8,True
56765,275,40,36.0,40,275,True
56766,2571,35,896.0,35,2571,True
56767,275,40,506.0,40,275,True
56768,2294,34,1031.0,34,2294,True
56769,275,40,1311.0,40,275,True
56771,2046,30,757.0,30,2046,True
56774,2099,33,581.0,33,2099,True
56777,2099,33,851.0,33,2099,True
56778,2117,32,254.0,32,2117,True
56780,139,32,646.0,32,139,True
56782,2674,34,628.0,34,2674,True
56783,2429,32,836.0,32,2429,True
56784,2429,32,826.0,32,2429,True
56785,2429,32,1003.0,32,2429,True
56787,2229,33,0.0,33,2229,True
56794,245,33,261.0,33,245,True
56795,52,33,411.0,33,52,True
56796,151,33,1018.0,33,151,True
56797,2250,38,654.0,38,2250,True
56798,2250,38,1278.0,38,2250,True
56799,2250,38,1058.0,38,2250,True
56801,301,31,413.0,31,301,True
56802,201,35,1088.0,35,201,True
56804,62,34,30.0,34,62,True
56806,2325,33,709.0,33,2325,True
